[21.996353149414062, -26.247217178344727]
[21.985475540161133, -26.248302459716797]
[21.990171432495117, -26.250123977661133]
[21.97969627380371, -26.257104873657227]
[21.985179901123047, -26.259153366088867]
[21.982505798339844, -26.252832412719727]
[21.993167877197266, -26.242948532104492]
[22.0084285736084, -26.2424373626709]
[21.988719940185547, -26.252229690551758]
[21.992841720581055, -26.242809295654297]
[21.994760513305664, -26.25040054321289]
[21.9967098236084, -26.248233795166016]
[21.998565673828125, -26.24878692626953]
[21.984750747680664, -26.257436752319336]
[21.98951530456543, -26.2509708404541]
[21.985870361328125, -26.248727798461914]
[22.032005310058594, -26.239519119262695]
[22.014423370361328, -26.246597290039062]
[24.439441680908203, -25.11551856994629]
[24.45901870727539, -25.11124610900879]
[24.379993438720703, -25.130184173583984]
[24.536714553833008, -25.09894561767578]
[24.368013381958008, -25.13882827758789]
[24.47522735595703, -25.117910385131836]
[24.421052932739258, -25.132266998291016]
[24.462854385375977, -25.081539154052734]
[24.482786178588867, -25.099958419799805]
[24.456815719604492, -25.11891746520996]
[24.511489868164062, -25.068819046020508]
[24.435373306274414, -25.126705169677734]
[24.481399536132812, -25.020172119140625]
[24.424423217773438, -25.123332977294922]
[24.436805725097656, -25.099069595336914]
[24.499942779541016, -25.106475830078125]
[24.48337173461914, -25.123092651367188]
[14.660806655883789, -27.766498565673828]
[43.981197357177734, -3.8158154487609863]
[44.0288200378418, -3.695732831954956]
[44.11762619018555, -3.7383346557617188]
[44.069923400878906, -3.723701238632202]
[43.8842887878418, -3.5644452571868896]
[43.86896896362305, -3.5373735427856445]
[44.089229583740234, -3.7180323600769043]
[44.06397247314453, -3.717191696166992]
[43.86176300048828, -3.9664270877838135]
[53.17719268798828, -12.280572891235352]
[53.219661712646484, -12.262892723083496]
[53.2325325012207, -12.258626937866211]
[53.23787307739258, -11.92562484741211]
[53.26157760620117, -12.215206146240234]
[53.249176025390625, -12.246087074279785]
[53.31490707397461, -11.812627792358398]
[53.294029235839844, -11.743666648864746]
[14.63569164276123, -25.618932723999023]
[12.647470474243164, 54.75100326538086]
[13.043182373046875, 54.913063049316406]
[12.6414213180542, 54.722896575927734]
[12.817073822021484, 54.8294792175293]
[13.334720611572266, 55.11548614501953]
[13.224051475524902, 55.00975799560547]
[12.268858909606934, 54.537105560302734]
[12.167193412780762, 54.49758529663086]
[12.426043510437012, 54.621315002441406]
[12.20736312866211, 54.485652923583984]
[12.198915481567383, 54.491764068603516]
[12.14975357055664, 54.487545013427734]
[12.28011417388916, 54.54500961303711]
[12.232325553894043, 54.50698471069336]
[12.153643608093262, 54.42962646484375]
[12.002019882202148, 54.303504943847656]
[12.256824493408203, 54.50224685668945]
[11.133318901062012, -15.979532241821289]
[7.569287300109863, 1.347777009010315]
[6.403823375701904, 8.341259956359863]
[5.35629415512085, 8.527900695800781]
[6.058913707733154, 8.304999351501465]
[6.1737446784973145, 8.430919647216797]
[5.386148929595947, 8.516365051269531]
[6.115952014923096, 8.410624504089355]
[-9.087950706481934, -1.63190495967865]
[-11.52193546295166, 4.178689956665039]
[-9.160202980041504, -1.5137020349502563]
[-11.712481498718262, 4.1221699714660645]
[-11.52105712890625, 4.164752006530762]
[-11.564674377441406, 4.171885967254639]
[-11.586946487426758, 4.186428546905518]
[-11.495308876037598, 4.228085041046143]
[-11.483366012573242, 4.245057582855225]
[-11.503886222839355, 4.2316813468933105]
[12.294414520263672, -26.781089782714844]
[54.186466217041016, 5.55671501159668]
[54.06443405151367, 5.646022796630859]
[54.134830474853516, 5.570892810821533]
[54.13652801513672, 5.570107460021973]
[54.13310241699219, 5.574242115020752]
[54.22117233276367, 5.554581165313721]
[54.2547721862793, 5.555673122406006]
[54.24864959716797, 5.552988052368164]
[54.12086868286133, 5.580136775970459]
[54.12675476074219, 5.579288959503174]
[54.1289176940918, 5.5746169090271]
[28.94455337524414, -28.706579208374023]
[28.911741256713867, -27.25832748413086]
[28.94319725036621, -27.264440536499023]
[28.878347396850586, -27.264175415039062]
[28.912132263183594, -27.283931732177734]
[28.883649826049805, -27.317899703979492]
[28.58759307861328, -28.50820541381836]
[30.58733367919922, -28.845169067382812]
[30.182331085205078, -29.1486873626709]
[39.751548767089844, -17.255538940429688]
[26.375699996948242, -23.699386596679688]
[52.79543685913086, 19.01179313659668]
[52.78323745727539, 18.72364044189453]
[52.71625518798828, 19.19244384765625]
[52.731109619140625, 19.17340850830078]
[30.101633071899414, -29.19553565979004]
[30.1644229888916, -29.19837760925293]
[30.175216674804688, -28.846275329589844]
[30.13903045654297, -29.239137649536133]
[30.125152587890625, -29.24315071105957]
[30.016517639160156, -28.588075637817383]
[29.995561599731445, -29.106122970581055]
[27.663612365722656, -28.731746673583984]
[31.265581130981445, -32.409751892089844]
[28.89820671081543, -28.63103675842285]
[30.375778198242188, -28.807086944580078]
[54.06765365600586, 5.635376930236816]
[54.215938568115234, 5.498763561248779]
[54.150211334228516, 5.560456275939941]
[54.221736907958984, 5.493928909301758]
[27.56670379638672, -28.56150245666504]
[30.59568977355957, -28.87567901611328]
[30.128143310546875, -29.027244567871094]
[30.456605911254883, -28.932491302490234]
[30.485815048217773, -29.029064178466797]
[30.514835357666016, -29.03125]
[30.119441986083984, -29.280548095703125]
[29.989700317382812, -29.40174102783203]
[30.092504501342773, -29.362260818481445]
[30.49713706970215, -28.89958381652832]
[30.409221649169922, -29.091991424560547]
[29.623960494995117, -28.936124801635742]
[16.22580337524414, -27.946430206298828]
[-2.1893069744110107, 60.42313766479492]
[-2.178238868713379, 60.435935974121094]
[-2.1791419982910156, 60.439640045166016]
[-2.1906020641326904, 60.43277359008789]
[-8.312435150146484, 58.64447784423828]
[-9.440118789672852, 57.497047424316406]
[-9.441210746765137, 57.48198318481445]
[-9.44625473022461, 57.50068664550781]
[-9.380292892456055, 57.61177444458008]
[60.187835693359375, -1.6384515762329102]
[60.156246185302734, -2.111508846282959]
[60.25905990600586, -2.0354154109954834]
[60.244773864746094, -2.0416409969329834]
[60.145015716552734, -1.509838342666626]
[54.1644172668457, 5.545619964599609]
[54.16614532470703, 5.543847560882568]
[53.929359436035156, 5.8037495613098145]
[23.684017181396484, -36.85490798950195]
[23.525657653808594, -36.87223434448242]
[23.540157318115234, -36.90373229980469]
[23.484560012817383, -36.86864471435547]
[13.700207710266113, -37.791507720947266]
[12.926765441894531, -38.39752960205078]
[14.065155982971191, -37.730316162109375]
[23.386173248291016, -36.96039581298828]
[23.443092346191406, -36.95824432373047]
[23.539648056030273, -36.91793441772461]
[23.506784439086914, -36.97746658325195]
[13.892216682434082, -37.80369567871094]
[13.758383750915527, -37.767024993896484]
[13.102387428283691, -32.205780029296875]
[23.4273681640625, -36.92414474487305]
[23.46979522705078, -36.887901306152344]
[23.506959915161133, -36.88130569458008]
[23.483360290527344, -36.904720306396484]
[-9.493877410888672, 57.4400634765625]
[-9.39528751373291, 57.61773681640625]
[60.30345153808594, -2.1281960010528564]
[60.44559860229492, -2.1483266353607178]
[18.694520950317383, -42.39543151855469]
[32.25164794921875, -42.061302185058594]
[32.24644470214844, -42.05913162231445]
[32.2566032409668, -42.062957763671875]
[32.25645446777344, -42.04948425292969]
[32.24988555908203, -42.05522155761719]
[32.10588073730469, -42.154518127441406]
[32.25749969482422, -42.0611572265625]
[32.249324798583984, -42.0638313293457]
[32.2540283203125, -42.05653381347656]
[32.24307632446289, -42.05963897705078]
[32.23841857910156, -42.13511276245117]
[32.225337982177734, -42.02239227294922]
[23.483341217041016, -36.859657287597656]
[13.3506441116333, -32.30568313598633]
[13.406371116638184, -32.36360168457031]
[12.641613006591797, -32.25516891479492]
[14.414299011230469, -32.95246124267578]
[15.007678985595703, -33.31585693359375]
[14.982220649719238, -33.28904724121094]
[14.453169822692871, -32.97249984741211]
[13.286361694335938, -32.276283264160156]
[13.455243110656738, -32.36470413208008]
[13.305519104003906, -32.32976150512695]
[12.867728233337402, -32.26502990722656]
[13.176005363464355, -32.334293365478516]
[13.28543758392334, -32.36439514160156]
[13.367048263549805, -32.37722396850586]
[13.354707717895508, -32.292762756347656]
[13.543805122375488, -32.308349609375]
[13.483416557312012, -32.376224517822266]
[13.428357124328613, -32.365665435791016]
[13.585142135620117, -32.312721252441406]
[13.376932144165039, -32.365726470947266]
